tweet_id,text,retweets,urls,mentions,hashtags,emoji,emoji_text,cleaned_text
1257605489333944321,I am heartbroken and disgusted to see one of my family members a young black man w/his hands up peacefully protesting and an NYPD officer pulls down his mask and pepper sprays him. @NYCSpeakerCoJo @BPEricAdams @FarahNLouis @JumaaneWilliams @NewYorkStateAG @NYPDShea cc: @EOsyd https://t.co/tGK5XWS0bt,19139,['https://t.co/tGK5XWS0bt'],"['@NYCSpeakerCoJo', '@BPEricAdams', '@FarahNLouis', '@JumaaneWilliams', '@NewYorkStateAG', '@NYPDShea', '@EOsyd']",[],[': @EOsyd https:'],[': @EOsyd https:'],I am heartbroken and disgusted to see one of my family members a young black man w/his hands up peacefully protesting and an NYPD officer pulls down his mask and pepper sprays him.       cc:  
1257065161392873476,"When you see NYPD with unlimited vans, bullets, and tear gas don’t forgot we needed a gofundme to get masks for our hospital",19088,[],[],[],[],[],"When you see NYPD with unlimited vans, bullets, and tear gas don’t forgot we needed a gofundme to get masks for our hospital"
1267141940547469312,Quarantine got me even tired of being on my phone. https://t.co/s2s7EwQ8of,19053,['https://t.co/s2s7EwQ8of'],[],[],[],[],Quarantine got me even tired of being on my phone. 
1257659682816241665,"Anyhow fuck trump and keep going. be safe, stay hydrated, wear your mask and again, fuck Donald Trump.",19028,[],[],[],[],[],"Anyhow fuck trump and keep going. be safe, stay hydrated, wear your mask and again, fuck Donald Trump."
1264022420601495552,This is what happens to peace. https://t.co/vWJkqfoiVn,18989,['https://t.co/vWJkqfoiVn'],[],[],[],[],This is what happens to peace. 
1266231100780744704,"We literally left them a 69-page Pandemic Playbook.... that they ignored  

And an office called the Pandemic Preparedness Office... that they abolished. 

And a global monitoring system called PREDICT .. that they cut by 75% https://t.co/OD94v0UI4n",18928,['https://t.co/OD94v0UI4n'],[],[],[],[],"We literally left them a 69-page Pandemic Playbook.... that they ignored  

And an office called the Pandemic Preparedness Office... that they abolished. 

And a global monitoring system called PREDICT .. that they cut by 75% "
1264721468761481216,I didn't spend my childhood in barbed wire enclosed internment camps so I could listen to grown adults today cry oppression because they have to wear a mask at Costco.,18727,[],[],[],[],[],I didn't spend my childhood in barbed wire enclosed internment camps so I could listen to grown adults today cry oppression because they have to wear a mask at Costco.
1258448981702725634,I saw this and I wanted to retweet it but the protester’s face was in it... so I cropped it but I did need this to be seen. https://t.co/wH4YfcG0n6,18613,['https://t.co/wH4YfcG0n6'],[],[],[],[],I saw this and I wanted to retweet it but the protester’s face was in it... so I cropped it but I did need this to be seen. 
1259377633608953857,"ripped off a hijab, kicked a pregnant woman and made her have a miscarriage, maced a child, threw a woman down so hard she had a seizure yet they’re considered heroes",18521,[],[],[],[],[],"ripped off a hijab, kicked a pregnant woman and made her have a miscarriage, maced a child, threw a woman down so hard she had a seizure yet they’re considered heroes"
1256085073952034817,"All over the World the CoronaVirus, a very bad “gift” from China, marches on. Not good!",18429,[],[],[],[],[],"All over the World the CoronaVirus, a very bad “gift” from China, marches on. Not good!"
